pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,hits,abs,exit_velocity,launch_angle,spin_rate,velocity,effective_speed
232,460044,Cesar Carrillo,232,100,0.348,0.326,0.316,0.674,16,46,,,,86.73,
232,543271,Erik Hamren,232,100,0.244,0.195,0.267,0.439,10,41,,,,85.72,
231,430664,Casey Daigle,231,100,0.439,0.316,0.458,0.754,25,57,,,,84.74,
230,642229,Daniel Wright,230,100,0.417,0.217,0.434,0.633,25,60,89.7,11.1,2232,86.09,85.79
229,501852,Bruce Billings,229,100,0.354,0.271,0.452,0.625,17,48,,,,89.29,
229,606930,Jacob Barnes,229,100,0.25,0.115,0.343,0.365,13,52,89.2,7.2,1878,91.69,92.63
229,473265,Jose De La Torre,229,100,0.244,0.22,0.32,0.463,10,41,,,,87.72,
228,454581,Carlos Guevara,228,100,0.265,0.163,0.297,0.429,13,49,,,,82.02,
227,641771,Chad Kuhl,227,100,0.327,0.236,0.348,0.564,18,55,91.6,16,1730,91.21,91.81
227,592433,Tyrell Jenkins,227,100,0.291,0.164,0.298,0.455,16,55,90.2,3.8,1676,89.19,89.92
227,134003,Scott Elarton,227,100,0.308,0.077,0.41,0.385,16,52,,,,84.77,
227,605333,Jack Leathersich,227,100,0.273,0.068,0.4,0.341,12,44,12.9,3.9,2229,89.54,88.38
226,118967,Kent Mercker,226,100,0.265,0.122,0.286,0.388,13,49,,,,85.69,
223,543023,Nick Christiani,223,100,0.224,0.241,0.208,0.466,13,58,,,,90.89,
222,592127,Johnny Barbato,222,100,0.213,0.149,0.267,0.362,10,47,85.8,14.1,2104,89.61,87.99
220,595235,Cody Hall,220,100,0.286,0.184,0.324,0.469,14,49,21.3,6,1754,89.47,89.53
219,430950,Brian Gordon,219,100,0.286,0.196,0.271,0.482,16,56,,,,84.3,
218,592181,Danny Burawa,218,100,0.239,0.152,0.257,0.391,11,46,15.7,6.3,2189,92.24,91.06
217,570666,Luis Cessa,217,100,0.231,0.288,0.195,0.519,12,52,90.1,12.7,2146,89.64,88.59
216,657205,Zac Curtis,216,100,0.209,0.116,0.235,0.326,9,43,89.5,17.1,1682,88.19,87.49
211,453273,Michael Crotta,211,100,0.392,0.157,0.429,0.549,20,51,,,,91.51,
210,444864,Jimmy Barthmaier,210,100,0.364,0.25,0.371,0.614,16,44,,,,87.53,
209,407779,Francis Beltran,209,100,0.26,0.24,0.263,0.5,13,50,,,,86.96,
208,594943,Zach Neal,208,100,0.368,0.25,0.356,0.618,25,68,89,7.7,2020,86.92,86.96
207,543493,Brett Marshall,207,100,0.283,0.217,0.278,0.5,13,46,,,,85.94,
205,488776,Jaye Chapman,205,100,0.2,0.1,0.286,0.3,8,40,,,,83.26,
205,425510,Francisco Cruceta,205,100,0.295,0.159,0.355,0.455,13,44,,,,87.78,
203,543532,Tim Melville,203,100,0.381,0.429,0.379,0.81,16,42,85.1,17,1873,87.96,87.81
202,503444,Joel De La Cruz,202,100,0.316,0.333,0.306,0.649,18,57,92.3,16.4,2103,89.51,89.03
201,434564,Zack Segovia,201,100,0.282,0.154,0.278,0.436,11,39,,,,88.26,
201,543508,Cory Mazzoni,201,100,0.489,0.298,0.553,0.787,23,47,23.5,2.7,2269,91.24,90.57
197,444865,Jason Hirsh,197,100,0.357,0.381,0.364,0.738,15,42,,,,87.42,
195,471803,Armando Gabino,195,100,0.419,0.372,0.4,0.791,18,43,,,,87.79,
194,502457,Drew Hayes,194,100,0.357,0.286,0.387,0.643,15,42,84.6,11.9,2120,89.04,88.58
193,430674,Yhency Brazoban,193,100,0.308,0.179,0.407,0.487,12,39,,,,90.98,
193,608167,Jonathan Aro,193,100,0.34,0.255,0.368,0.596,16,47,19.3,11,2336,90.88,90.53
192,571963,A.J. Morris,192,100,0.237,0.237,0.25,0.474,9,38,88.4,11.9,1857,87.8,87.18
192,465015,Leyson Septimo,192,100,0.157,0.176,0.147,0.333,8,51,,,,87.87,
192,596112,Robert Stephenson,192,100,0.2,0.2,0.179,0.4,9,45,84.4,24.7,2083,89.52,88.86
190,518495,Brian Broderick,190,100,0.327,0.061,0.348,0.388,16,49,,,,85.37,
189,502051,Josh Ravin,189,100,0.31,0.214,0.37,0.524,13,42,15.6,5.2,2344,94.81,94.11
189,518883,Dean Kiekhefer,189,100,0.267,0.178,0.294,0.444,12,45,89.3,11.7,1785,84.79,84.28
187,546276,Edwin Escobar,187,100,0.39,0.22,0.429,0.61,16,41,91,18.1,1828,89.25,88.2
187,605347,Jorge Lopez,187,100,0.35,0.075,0.467,0.425,14,40,21.1,2.3,1956,91.46,92.38
185,602083,Miguel Almonte,185,100,0.212,0.364,0.158,0.576,7,33,14.6,14.9,2294,92.31,91.38
184,594815,Jeff Ferrell,184,100,0.267,0.244,0.243,0.511,12,45,22.5,7.9,2034,89.04,89.35
184,476127,Zach Kroenke,184,100,0.333,0.244,0.324,0.578,15,45,,,,88.54,
184,518713,John Gast,184,100,0.234,0.106,0.263,0.34,11,47,,,,83.35,
183,445177,Deunte Heath,183,100,0.257,0.343,0.214,0.6,9,35,,,,87.54,
181,592614,Dillon Overton,181,100,0.366,0.488,0.313,0.854,15,41,92,21.6,1969,83.99,83.51
178,136304,Valerio De Los Santos,178,100,0.207,0.138,0.278,0.345,6,29,,,,88.39,
177,573589,Michael Ynoa,177,100,0.27,0.135,0.385,0.405,10,37,93,13.2,2243,90.34,91.46
176,400113,Les Walrond,176,100,0.342,0.105,0.5,0.447,13,38,,,,83.74,
176,572947,Phil Irwin,176,100,0.333,0.111,0.379,0.444,12,36,,,,85.8,
173,451600,Christian Garcia,173,100,0.186,0.186,0.231,0.372,8,43,,,,91.91,
171,457437,Jared Wells,171,100,0.314,0.2,0.321,0.514,11,35,,,,88.56,
170,474256,Ryan Reid,170,100,0.231,0.154,0.25,0.385,9,39,,,,89.68,
170,276913,Derrick Turnbow,170,100,0.414,0.241,0.478,0.655,12,29,,,,90.75,
168,608717,Chris Stratton,168,100,0.289,0.105,0.323,0.395,11,38,90.3,14.9,2061,87.78,88.43
165,430889,Bill Murphy,165,100,0.111,0.167,0.1,0.278,4,36,,,,85.76,
165,514981,Diego Moreno,165,100,0.225,0.15,0.258,0.375,9,40,20.1,8.8,2250,91.69,91.22
165,542947,Richard Bleier,165,100,0.302,0.14,0.333,0.442,13,43,92.2,3.8,1678,87.06,86.99
164,450312,Mark Worrell,164,100,0.412,0.353,0.458,0.765,14,34,,,,83.05,
162,502621,Tobi Stoner,162,100,0.286,0.214,0.286,0.5,12,42,,,,83.68,
160,460104,Anthony Slama,160,100,0.222,0.185,0.278,0.407,6,27,,,,86.77,
160,455949,Scott Mathieson,160,100,0.452,0.032,0.56,0.484,14,31,,,,89.99,
159,543174,Eric Fornataro,159,100,0.282,0.077,0.297,0.359,11,39,,,,89.93,
159,458530,Erik Davis,159,100,0.278,0.139,0.417,0.417,10,36,,,,88.97,
159,425835,Chin-hui Tsao,159,100,0.432,0.351,0.464,0.784,16,37,23.9,8.9,2091,90.59,89.06
