"","PitchNo","PAofGame","PAofInning","PitchofPA","Pitcher","PitcherThrows","BatterId","BatterSide","PitcherSet","Inning","InningTop","Outs","Balls","Strikes","TaggedPitchType","AutoPitchType","PitchCall","KorBB","HitType","PlayResult","OutsOnPlay","RunsScored","Notes","Release.Speed","VertRelAngle","HorzRelAngle","SpinRate","SpinAxis","Tilt","RelHeight","RelSide","Extension","VertBreak","InducedVertBreak","HorzBreak","PlateLocHeight","PlateLocSide","ZoneSpeed","VertApprAngle","HorzApprAngle","ZoneTime","ExitSpeed","Angle","Direction","HitSpinRate","PositionAt110X","PositionAt110Y","PositionAt110Z","Distance","LastTrackedDistance","Bearing","HangTime","pfxx","pfxz","x0","y0","z0","vx0","vy0","vz0","ax0","ay0","az0","PitchCount","K","BB","Hit","OutYorN"
"212",51,16,1,2,"Pitcher Z","Right",642066,"Right","Windup",3,0,0,0,1,"Fastball","Fastball","InPlay","","LineDrive","Double",0,0,NA,92.71730095,-2.81578077,-2.742134473,2099.492484,221.843404,"1:30",6.014650027,2.390133254,5.387006448,-16.98424769,16.12934892,14.4711834,1.955221336,1.024201227,84.75655049,-5.966975189,-0.045523989,0.41416624,105.8330203,8.681595929,-28.21538906,1590.173496,93.58151884,12.20525213,-57.81391007,233.5623051,227.4132982,-35.23275822,1.907223511,-8.42206285,9.321501891,-2.155279219,50,5.751030612,5.913027321,-134.5664043,-7.250691749,-15.45173824,29.04537099,-15.07213305,17,0,0,1,0
"213",52,17,2,1,"Pitcher Z","Right",623188,"Left","Stretch",3,0,0,0,0,"ChangeUp","ChangeUp","BallCalled","","","",0,0,NA,85.87418842,-3.737647906,-4.850891785,2074.007553,220.2390099,"1:15",5.934762956,2.629461323,5.634394515,-24.6897521,13.84680586,11.74828927,0.373030723,-0.927618724,78.65678948,-8.316255223,-2.658546933,0.446794665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.641298795,8.452994716,-2.223937969,50,5.600034977,10.16228586,-124.2525453,-8.950367176,-11.93664751,25.07501,-18.96943229,18,0,0,0,0
"214",53,17,2,2,"Pitcher Z","Right",623188,"Left","Stretch",3,0,0,1,0,"ChangeUp","ChangeUp","InPlay","","GroundBall","Out",1,0,NA,86.66034397,-2.321996413,-4.09550537,2042.254327,239.580185,"2:00",5.932206348,2.7112038,5.484434537,-26.20612983,11.70043812,19.98782107,1.569405409,0.539015895,79.19854749,-7.191511689,-0.36484325,0.443127549,85.69800723,-4.599101189,31.22516364,NA,NA,NA,NA,18.22595186,16.71847059,24.99256434,0.144009399,-11.78456127,6.878036555,-2.365440374,50,5.710700911,8.322066079,-125.647456,-5.99228626,-18.812239,25.79714379,-21.19432139,19,0,0,0,1
"215",54,18,3,1,"Pitcher Z","Right",642094,"Right","Stretch",3,0,1,0,0,"Fastball","Fastball","BallCalled","","","",0,0,NA,92.94759461,-2.55672784,-4.104202295,2094.611788,204.7568919,"12:45",6.108163132,2.491813087,5.342262197,-12.51972454,20.63056109,9.528201582,2.658954383,-0.570388976,84.60616929,-4.884456682,-2.332593628,0.414395619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.201853199,11.63865314,-2.128396304,50,5.868397205,9.31313941,-134.7061077,-6.493854975,-11.37779707,29.68714893,-10.82200597,20,0,0,0,0
"216",55,18,3,2,"Pitcher Z","Right",642094,"Right","Stretch",3,0,1,1,0,"Fastball","Fastball","StrikeCalled","","","",0,0,NA,93.58890882,-3.060083002,-3.241389552,2196.279379,213.5641844,"1:00",6.061228242,2.358551491,5.528481432,-13.33177832,19.11229134,12.70120211,2.082614098,0.383955487,85.24370432,-5.545706636,-0.867012076,0.409957826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.686819871,11.05126584,-2.085340367,50,5.786193963,7.228093778,-135.743145,-7.750678247,-14.31180692,30.30568769,-11.59810356,21,0,0,0,0
"217",56,18,3,3,"Pitcher Z","Right",642094,"Right","Stretch",3,0,1,1,1,"Fastball","Fastball","StrikeSwinging","","","",0,0,NA,93.38513646,-3.143451188,-3.498842031,2114.271198,240.0860299,"2:00",6.036995276,2.492985765,5.420038578,-21.91083503,10.81564919,18.85186324,1.25843345,0.7828334,85.33314969,-7.206885076,0.018077905,0.411738231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.98922547,6.627158559,-2.195286613,50,5.742408148,7.585035626,-135.3840201,-8.254050004,-20.36571198,29.96410719,-19.89230924,22,0,0,0,0
"218",57,18,3,4,"Pitcher Z","Right",642094,"Right","Stretch",3,0,1,1,2,"Curveball","Slider","BallCalled","","","",0,0,NA,82.86842251,-1.792896526,-4.009518076,2757.380411,92.539249,"9:00",6.172431494,2.364010769,5.373041665,-41.7210928,0.087469195,-2.858767536,1.010278819,-1.6390235,76.03333179,-9.487952117,-4.541546294,0.465376162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.318411739,0.582566695,-2.002608395,50,5.982537956,8.51384275,-120.1298055,-5.134014895,0.462035893,24.79460944,-31.32870685,23,0,0,0,0
"219",58,18,3,5,"Pitcher Z","Right",642094,"Right","Stretch",3,0,1,2,2,"Curveball","Slider","BallCalled","","","",0,0,NA,82.03171719,-2.174054334,-2.349516957,NA,22.5786412,"6:45",6.165463975,2.251081294,5.416422384,-44.72144427,-2.388280557,-0.976549996,0.399599849,-0.032268982,75.69336772,-10.41078631,-2.531742522,0.468286763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.157332232,-0.641785668,-2.041804633,50,5.941590412,4.919149496,-119.1232673,-5.970641748,-0.22533543,23.58121968,-33.09323115,24,0,0,0,0
"220",59,18,3,6,"Pitcher Z","Right",642094,"Right","Stretch",3,0,1,3,2,"Fastball","Fastball","FoulBall","","","",0,0,NA,94.02262629,-2.592621903,-3.681328089,2226.577625,227.1141375,"1:30",5.963954947,2.49761644,5.511392478,-17.37905794,14.92640111,16.10337377,2.084878502,0.392709189,85.29537306,-5.839078671,-0.665653062,0.409081158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.678555422,8.728029638,-2.187257971,50,5.726073483,8.185860429,-136.3133783,-6.815955074,-18.08753417,31.85684535,-15.86288151,25,0,0,0,0
"221",60,18,3,7,"Pitcher Z","Right",642094,"Right","Stretch",3,0,1,3,2,"ChangeUp","Fastball","InPlay","","FlyBall","HomeRun",0,2,NA,88.30244106,-1.627223453,-3.412511852,2000.879118,211.1959292,"1:00",6.016386168,2.508697012,5.667822408,-18.22138519,18.24724392,11.06991449,2.977792264,0.245977134,79.80792285,-5.050463613,-1.329838022,0.434641547,92.2851381,38.58905493,-34.80168969,2129.790359,86.93008255,75.79231646,-67.40284879,346.7938875,89.51442183,-42.01875177,5.016907349,-6.994497562,10.29243506,-2.227400738,50,5.867512685,7.27386913,-128.1343047,-4.250259809,-11.50355349,29.13365692,-15.24651713,26,0,0,1,0
