Rk,Player,From,To,Tm,Lg,POS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,WS
63,John Henson,2013,2015,MIL,NBA,PF,200,43,3911,6.5,12.2,6.5,12.1,0,0,2.1,3.9,3.8,6.4,10.2,1.9,0.8,2.7,2.3,3.9,15,0.531,0.533,0,0.531,0.537,0.541,8.7
165,John Jenkins,2013,2015,ATL,NBA,SG,98,5,1357,5.2,11.5,3.1,6,2.1,5.5,2.1,2.5,0.6,3.5,4.1,2.1,0.6,0.3,1.6,1.7,14.6,0.451,0.52,0.375,0.54,0.849,0.577,2.5
51,John Wall,2011,2013,WAS,NBA,PG,184,172,6594,6,14.2,5.7,13.1,0.3,1.1,4.7,6,0.6,3.8,4.4,8.1,1.5,0.7,3.7,2.3,17,0.423,0.438,0.243,0.432,0.785,0.504,10.2
140,Jon Brockman,2010,2012,TOT,NBA,#N/A,150,10,1570,2.7,5.5,2.7,5.5,0,0,1.9,3.1,4.9,6,10.8,1.1,0.8,0.2,1.3,6.1,7.3,0.488,0.49,0,0.488,0.618,0.53,3.7
144,Jon Leuer,2012,2014,TOT,NBA,PF,123,12,1384,6.3,12.7,5.6,11.1,0.7,1.6,1.7,2.3,2.5,5.7,8.2,1.4,1,0.8,1.4,3.9,15,0.497,0.507,0.426,0.524,0.727,0.546,3.6
56,Jonas Jerebko,2010,2013,DET,NBA,#N/A,193,88,4592,5,10.8,4.3,8.4,0.7,2.4,2.3,3,2.8,4.8,7.6,1.1,1.2,0.5,1.5,3.8,13.1,0.469,0.516,0.306,0.503,0.755,0.543,9.7
9,Jonas Valanciunas,2013,2015,TOR,NBA,#N/A,223,218,5860,5.8,10.4,5.8,10.4,0,0,3.4,4.4,3.5,7.5,10.9,0.9,0.5,1.5,2.1,4,14.9,0.553,0.553,0,0.553,0.778,0.605,18.9
361,Jonny Flynn,2010,2012,TOT,NBA,PG,163,90,3738,5.3,13.3,4.2,9.9,1.1,3.4,2.7,3.4,0.4,2.5,3,6.1,1.2,0.1,3.7,1.7,14.5,0.4,0.42,0.338,0.442,0.809,0.49,-1.1
167,Jordan Crawford,2011,2013,TOT,NBA,SG,176,64,4489,6.8,16.8,5.2,11.6,1.6,5.2,2.9,3.6,1,2.9,3.9,4.3,1.1,0.1,2.9,2.2,18,0.402,0.446,0.301,0.448,0.814,0.489,2.4
159,Jordan Hamilton,2012,2014,TOT,NBA,SF,126,15,1674,6,14.8,3.5,8,2.5,6.8,1.2,1.8,1.6,5.9,7.5,2,1.4,0.7,1.7,2.3,15.6,0.406,0.446,0.358,0.488,0.671,0.502,2.7
123,Jordan Hill,2010,2012,TOT,NBA,PF,158,19,2300,5.5,11.2,5.5,11.1,0,0.1,2.1,3.1,4.1,6.3,10.4,1,0.7,1.6,1.9,5,13.2,0.493,0.498,0,0.493,0.68,0.524,4.6
208,Jordan Williams,2012,2012,NJN,NBA,C,43,5,635,4.4,8.6,4.4,8.6,0,0,2.4,3.7,3.7,5.1,8.8,0.6,1.2,0.9,1.3,3.5,11.2,0.507,0.507,,0.507,0.652,0.544,1.3
220,Jorge Gutierrez,2014,2016,TOT,NBA,#N/A,47,3,482,4,7.9,3.7,6.6,0.2,1.3,2.1,2.7,0.6,3.4,4,5.2,1.4,0.1,2.4,4.9,10.2,0.5,0.562,0.176,0.514,0.778,0.562,0.8
274,Josh Akognon,2013,2013,DAL,NBA,#N/A,3,0,9,8,16,4,8,4,8,0,0,0,4,4,4,0,0,0,12,20,0.5,0.5,0.5,0.625,,0.625,0
177,Josh Harrellson,2012,2014,TOT,NBA,#N/A,75,4,888,4.3,9.7,2.9,5.9,1.3,3.9,0.9,1.4,3.2,6,9.2,1.1,1.2,1.5,1.3,3.9,10.7,0.438,0.497,0.347,0.506,0.629,0.519,2.1
355,Josh Selby,2012,2013,MEM,NBA,PG,38,0,296,3.8,11.4,3.4,8.9,0.4,2.6,2.2,3,0.2,2.2,2.4,4.1,1.1,0,4.4,2.9,10.1,0.33,0.384,0.143,0.346,0.72,0.395,-0.7
39,Jrue Holiday,2010,2012,PHI,NBA,PG,220,198,6864,5.4,12.3,4.3,9.4,1.1,2.9,1.7,2.2,0.9,2.9,3.9,5.8,1.6,0.3,2.7,2.6,13.7,0.44,0.46,0.377,0.484,0.798,0.515,11.1
230,Julyan Stone,2012,2014,TOT,NBA,#N/A,47,2,327,2.4,5.5,2,3.4,0.4,2.1,1.4,2,1,4.3,5.3,5.6,1.3,0.7,2,3.9,6.7,0.44,0.581,0.211,0.48,0.722,0.527,0.6
311,Justin Dentmon,2012,2013,TOT,NBA,#N/A,8,0,95,3.8,11.4,3,6.1,0.8,5.3,1.5,2.3,0,3,3,3.8,0.8,0,2.7,3.8,9.9,0.333,0.5,0.143,0.367,0.667,0.398,-0.1
189,Justin Hamilton,2014,2015,TOT,NBA,#N/A,49,14,784,4.3,9.1,3.7,7.3,0.6,1.8,2,2.4,2.8,3.7,6.5,1.7,1.5,1.4,1.4,3.6,11.3,0.475,0.513,0.325,0.508,0.846,0.555,1.7
333,Justin Harper,2012,2016,TOT,NBA,PF,19,0,119,3.9,12.4,2.1,5.7,1.8,6.7,0.3,0.9,0.9,3,3.9,0.6,0.9,0.9,2.4,2.4,10,0.317,0.368,0.273,0.39,0.333,0.39,-0.2
186,Justin Holiday,2013,2016,TOT,NBA,#N/A,121,9,1572,4.5,11.7,2.7,6.4,1.7,5.3,1.6,2.1,0.5,3.5,4.1,2.7,1.7,0.8,1.8,2.8,12.3,0.382,0.427,0.326,0.455,0.778,0.486,1.8
7,Kawhi Leonard,2012,2014,SAS,NBA,SF,188,161,5267,5.4,10.8,4.2,7.6,1.2,3.2,1.9,2.3,1.7,5.8,7.4,2,2,0.7,1.3,2.1,13.9,0.505,0.559,0.376,0.561,0.803,0.591,19.4
279,Keith Benson,2012,2012,GSW,NBA,C,3,0,9,0,4,0,4,0,0,0,0,8,4,12,0,0,0,0,0,0,0,0,,0,,0,0
45,Kelly Olynyk,2014,2016,BOS,NBA,C,203,30,4218,6.3,13.5,4.7,9.3,1.6,4.3,2.5,3.3,2.6,5.5,8.1,2.8,1.3,0.8,2.4,5.1,16.6,0.465,0.508,0.373,0.524,0.746,0.555,10.6
50,Kemba Walker,2012,2014,CHA,NBA,PG,221,180,7265,6.2,15.6,4.8,11.2,1.4,4.4,3.7,4.6,0.6,3.4,4.1,6,1.5,0.4,2.4,1.8,17.6,0.398,0.428,0.322,0.443,0.81,0.498,10.2
